priority,seed,method,n_params,issue,detail,suggested_max_evals,action
medium,-1,GPU-PSO,8,high_approx_fraction,75% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-CMAES,10,high_approx_fraction,100% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-DE,10,high_approx_fraction,75% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-PSO,10,high_approx_fraction,100% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-CMAES,20,high_approx_fraction,75% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-PSO,20,high_approx_fraction,75% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-CMAES,40,high_approx_fraction,75% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-DE,40,high_approx_fraction,50% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-PSO,40,high_approx_fraction,50% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-CMAES,80,high_approx_fraction,75% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-DE,80,high_approx_fraction,75% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-PSO,80,high_approx_fraction,75% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-CMAES,120,short_vs_peers,T=2650 evals vs peer_max=5900; stop=StopB — large-B cells use approx_hold/soft,5900,Optional re-run with larger max_iter / disabled early stop for fixed-budget fairness at high B
medium,-1,GPU-CMAES,120,high_approx_fraction,75% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-DE,120,high_approx_fraction,50% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-PSO,120,high_approx_fraction,75% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-CMAES,160,high_approx_fraction,75% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-DE,160,high_approx_fraction,75% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-PSO,160,high_approx_fraction,75% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-CMAES,210,high_approx_fraction,50% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-DE,210,high_approx_fraction,50% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-PSO,210,high_approx_fraction,50% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
